variant,family,layer,expert,count,weight_sum
base,bit_manipulation,10,58,22,6.907996192574501
base,bit_manipulation,10,27,28,10.25595423579216
base,bit_manipulation,10,41,10,3.394184857606888
base,bit_manipulation,10,78,47,15.54992787539959
base,bit_manipulation,10,62,12,3.7760009765625
base,bit_manipulation,10,46,124,50.78154453635216
base,bit_manipulation,10,77,16,6.2688442170619965
base,bit_manipulation,10,0,4,1.2697483599185944
base,bit_manipulation,10,19,329,142.87464195489883
base,bit_manipulation,10,81,9,2.686590313911438
base,bit_manipulation,10,6,473,205.41753220558167
base,bit_manipulation,10,48,569,242.71224783360958
base,bit_manipulation,10,63,278,106.30789172649384
base,bit_manipulation,10,79,33,12.599823534488678
base,bit_manipulation,10,7,307,129.0581496655941
base,bit_manipulation,10,76,70,37.06277668476105
base,bit_manipulation,10,1,15,4.61262708902359
base,bit_manipulation,10,59,20,6.920630544424057
base,bit_manipulation,10,87,174,67.18279665708542
base,bit_manipulation,10,110,51,18.771413311362267
base,bit_manipulation,10,38,40,15.618935465812683
base,bit_manipulation,10,91,7,1.8813287913799286
base,bit_manipulation,10,15,15,4.976577520370483
base,bit_manipulation,10,28,47,17.045349687337875
base,bit_manipulation,10,39,490,266.1552546918392
base,bit_manipulation,10,71,63,22.74306756258011
base,bit_manipulation,10,105,36,13.15676560997963
base,bit_manipulation,10,103,7,2.1700656712055206
base,bit_manipulation,10,23,9,3.065010726451874
base,bit_manipulation,10,123,280,107.26907709240913
base,bit_manipulation,10,92,29,10.296509951353073
base,bit_manipulation,10,96,16,6.101881891489029
base,bit_manipulation,10,75,12,4.756769388914108
base,bit_manipulation,10,98,39,16.220333620905876
base,bit_manipulation,10,82,35,15.331062376499176
base,bit_manipulation,10,117,14,5.060402661561966
base,bit_manipulation,10,85,14,4.593808472156525
base,bit_manipulation,10,100,41,14.197719931602478
base,bit_manipulation,10,44,12,4.29288175702095
base,bit_manipulation,10,17,10,2.73328498005867
base,bit_manipulation,10,13,11,4.424549043178558
base,bit_manipulation,10,86,119,48.18018597364426
base,bit_manipulation,10,95,45,15.514689058065414
base,bit_manipulation,10,50,4,1.3337759673595428
base,bit_manipulation,10,124,35,12.380592375993729
base,bit_manipulation,10,68,51,21.66498464345932
base,bit_manipulation,10,56,18,6.4720558822155
base,bit_manipulation,10,30,11,4.405760437250137
